CDS_ID	Low_A	Low_B	High_A	High_B
CDS_2246	1848	1430	318	265
CDS_2249	82	89	58	22
CDS_2250	399	408	468	262
CDS_2259	211	150	98	56
CDS_2260	1709	880	519	406
CDS_2261	553	209	155	61
CDS_2262	89	43	29	11
CDS_2263	34	102	139	152
CDS_2264	37	129	221	368
CDS_2270	297	106	164	77
CDS_2271	395	194	305	253
CDS_2272	253	126	146	194
CDS_2273	150	35	66	29
CDS_2276	808	570	341	403
CDS_2277	231	157	82	100
CDS_2278	233	77	25	38
CDS_2279	1002	789	398	361
CDS_2282	78	84	466	345
CDS_2283	48	50	189	155
CDS_2285	47	25	0	27
CDS_2286	363	364	135	207
CDS_2287	151	105	16	60
CDS_2293	47	38	0	1
CDS_2301	11	9	23	10
CDS_2302	6	7	47	17
CDS_2308	81	61	3	10
CDS_2309	782	432	244	152
CDS_2312	16	12	1	9
CDS_2313	178	74	131	92
CDS_2314	826	448	332	322
CDS_2317	18	0	0	0
CDS_2318	0	0	60	0
CDS_2323	0	0	10	0
CDS_2325	8	14	0	35
CDS_2326	76	63	32	28
CDS_2329	0	2	0	0
CDS_2330	0	4	0	11
CDS_2331	354	252	108	146
CDS_2340	6	0	0	0
CDS_2342	6	2	0	0
CDS_2344	276	185	112	45
CDS_2345	23	17	25	7
CDS_2347	5	11	27	0
CDS_2348	6	3	45	0
CDS_2349	15	23	8	3
CDS_2350	1	4	1	0
CDS_2352	23	15	0	0
CDS_2353	6	23	11	34
CDS_2354	387	252	156	136
CDS_2356	0	0	11	0
CDS_2357	59	55	0	8
CDS_2359	6	11	18	24
CDS_2360	234	152	115	40
CDS_2362	24	1	4	13
CDS_2364	14	0	12	0
CDS_2365	346	241	64	43
CDS_2366	22	7	3	0
CDS_2370	0	0	0	3
CDS_2372	79	37	21	22
CDS_2373	49	31	15	19
CDS_2375	0	0	5	0
CDS_2378	26	6	19	0
CDS_2379	36	21	23	13
CDS_2380	28	5	9	0
CDS_2381	158	93	50	73
CDS_2388	15	3	0	0
CDS_2389	0	1	8	18
CDS_2391	0	5	5	7
CDS_2392	1	2	11	7
CDS_2393	3	9	0	0
CDS_2394	4	5	28	0
CDS_2396	63	113	382	219
CDS_2398	22	14	0	11
CDS_2400	13	10	5	0
CDS_2402	3	0	6	0
CDS_2410	20	16	5	0
CDS_2412	0	0	17	0
CDS_2413	50	54	46	53
CDS_2414	26	3	7	1
CDS_2415	82	70	48	30
CDS_2418	0	0	1	7
CDS_2419	26	19	10	4
CDS_2423	51	0	0	0
CDS_2425	1	0	0	6
CDS_2426	279	113	15	7
CDS_2427	23	14	51	9
CDS_2428	54	21	36	0
CDS_2429	0	0	12	1
CDS_2431	204	130	68	84
CDS_2432	40	66	26	9
CDS_2435	32	33	34	1
CDS_2438	35	39	23	17
CDS_2440	269	212	108	95
CDS_2443	0	7	12	6
CDS_2446	11	9	0	10
CDS_2447	3	8	10	28
CDS_2452	0	0	8	0
CDS_2454	1	8	0	0
CDS_2457	0	5	0	10
CDS_2461	5	10	0	0
CDS_2471	1	0	47	5
CDS_2480	136	72	22	57
CDS_2483	3	7	15	15
CDS_2484	1	0	22	0
CDS_2485	35	19	9	16
CDS_2487	52	17	10	0
CDS_2488	201	191	59	36
CDS_2489	72	42	26	25
CDS_2491	66	39	13	38
CDS_2492	12	13	7	1
CDS_2494	0	0	9	1
CDS_2495	2	1	126	23
CDS_2497	2	6	20	0
CDS_2498	950	386	302	259
CDS_2501	18	10	15	1
CDS_2504	0	13	11	7
CDS_2505	4	9	0	25
CDS_2506	1	4	8	0
CDS_2510	2	0	3	0
CDS_2511	21	12	27	6
CDS_2512	4	8	0	17
CDS_2522	0	0	54	0
CDS_2535	25	6	4	22
CDS_2536	119	53	35	37
